Geneid,Chr,Start,End,Strand,Length,raw_count_1,raw_count_2,raw_count,FPKM
CG1416,scaffold_28;scaffold_28;scaffold_28;scaffold_28,318871;319101;319879;321128,319018;319737;320014;321271,+;+;+;+,1065,1905,1883,1894,90.89211727
tsh,scaffold_28;scaffold_28,388566;392041,388618;394852,+;+,2865,52,46,49,0.8741124521
FBgn0171061,scaffold_28,492860,493141,+,282,0,0,0,0
FBgn0171062,scaffold_3,1992918,1998569,+,5652,25,26,25.5,0.2305865017
CG1421,scaffold_28,510983,511549,+,567,7,7,7,0.6309730852
CG1428,scaffold_28,514259,516112,+,1854,3,3,3,0.08270035583
CG11634,scaffold_28,523141,524037,+,897,15,15,15,0.8546625402
FBgn0171066,scaffold_28,528852,529175,+,324,0,0,0,0
FBgn0171067,scaffold_28;scaffold_28,562274;564135,562334;564379,+;+,306,0,0,0,0
CG31693,scaffold_28;scaffold_28,614959;615396,615302;616773,+;+,1722,27,28,27.5,0.8161977627
tio,scaffold_28;scaffold_28;scaffold_28,619260;619857;622563,619315;622300;623125,+;+;+,3063,73,78,75.5,1.259783187
FBgn0171070,scaffold_28;scaffold_28,634658;637172,634713;637877,+;+,762,0,1,0.5,0.03353597106
FBgn0171071,scaffold_28;scaffold_28,670118;671412,671363;671479,+;+,1314,10,8,9,0.3500604103
ttm3,scaffold_28,683342,684373,+,1032,5,2,3.5,0.173334176
CG6675,scaffold_28;scaffold_28,713750;713850,713795;714982,+;+,1179,3748,3720,3734,161.866271
CG3651,scaffold_28;scaffold_28;scaffold_28;scaffold_28;scaffold_28,725539;725918;727390;727738;728903,725847;727330;727677;727864;729060,+;+;+;+;+,2295,640,626,633,14.09668105
FBgn0171075,scaffold_28;scaffold_28;scaffold_28;scaffold_28;scaffold_28;scaffold_28,748522;749025;749264;750246;753895;754661,748600;749198;750178;751699;754431;755206,+;+;+;+;+;+,3705,410,402,406,5.600588632
FBgn0171076,scaffold_28,759043,759783,+,741,82,72,77,5.310903013
FBgn0171077,scaffold_28;scaffold_28;scaffold_28;scaffold_28;scaffold_28;scaffold_28,762005;762428;764038;765839;767542;769486,762040;763038;764232;766047;767691;770792,+;+;+;+;+;+,2508,1180,1127,1153.5,23.50638906
FBgn0171078,scaffold_11142,334,708,+,375,0,0,0,0
FBgn0171079,scaffold_3;scaffold_3;scaffold_3;scaffold_3,2062389;2065048;2065288;2065560,2062444;2065230;2065489;2065691,+;+;+;+,573,3387,3267,3327,296.752258
FBgn0171080,scaffold_3168,119,430,-,312,0,0,0,0
FBgn0171081,scaffold_275,14886,15353,-,468,0,1,0.5,0.05460344007
FBgn0171082,scaffold_14292,440,751,+,312,0,0,0,0
FBgn0171083,scaffold_3,2073424,2073678,+,255,0,0,0,0
FBgn0171084,scaffold_10745,534,905,+,372,0,0,0,0
FBgn0171087,scaffold_10423,165,323,+,159,0,0,0,0
CoVb,scaffold_3;scaffold_3;scaffold_3,2097508;2098023;2098525,2097589;2098196;2098631,+;+;+,363,11092,10817,10954.5,1542.345916
FBgn0171089,scaffold_9360,19,357,+,339,0,0,0,0
CG11043,scaffold_3;scaffold_3,2099061;2099301,2099244;2099584,+;+,468,59,63,61,6.661619688
FBgn0171091,scaffold_258;scaffold_258;scaffold_258,16920;17444;17717,16998;17638;17820,-;-;-,378,5,2,3.5,0.4732298139
FBgn0171092,scaffold_258;scaffold_258;scaffold_258;scaffold_258;scaffold_258;scaffold_258;scaffold_258,11794;11972;12245;12474;12791;13024;13234,11905;12166;12416;12728;12967;13174;13728,-;-;-;-;-;-;-,1557,111,116,113.5,3.725658997
FBgn0171094,scaffold_258;scaffold_258,2489;6659,2727;6923,-;-,504,0,0,0,0
Ent2,scaffold_3,2102248,2103624,+,1377,716,703,709.5,26.33384729
FBgn0171096,scaffold_258;scaffold_258;scaffold_258,7964;8122;8430,8066;8370;8731,+;+;+,654,6,7,6.5,0.5079622773
FBgn0171097,scaffold_197,21424,21642,+,219,0,0,0,0
FBgn0171098,scaffold_197,22046,23017,+,972,0,0,0,0
CG11050,scaffold_3;scaffold_3;scaffold_3;scaffold_3,2151950;2152174;2155103;2155458,2152024;2152671;2155396;2155757,+;+;+;+,1167,6532,6452,6492,284.3174454
FBgn0171100,scaffold_14411,227,793,-,567,29,28,28.5,2.568961847
FBgn0171101,scaffold_538,997,1308,-,312,0,0,0,0
FBgn0171102,scaffold_538,154,528,+,375,0,0,0,0
Cyp305a1,scaffold_29;scaffold_29;scaffold_29,464906;466522;467478,466288;466559;467571,-;-;-,1515,121,117,119,4.014488164
FBgn0171104,scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3,2162779;2162932;2163136;2163387;2163974;2164068;2164290,2162833;2163082;2163317;2163907;2164018;2164233;2164348,+;+;+;+;+;+;+,1179,1,1,1,0.04334929593
FBgn0171105,scaffold_538,1594,1782,+,189,0,0,0,0
FBgn0171106,scaffold_538,5537,6223,+,687,1,2,1.5,0.1115913098
FBgn0171107,scaffold_1048,2337,3254,+,918,0,0,0,0
FBgn0171108,scaffold_1048,5226,5600,+,375,0,0,0,0
FBgn0171109,scaffold_13786,17,763,-,747,0,0,0,0
Tango1,scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3,2188551;2188805;2191094;2191588;2191835;2192517;2192677,2188698;2190985;2191530;2191720;2192459;2192618;2193418,+;+;+;+;+;+;+,4368,1850,1823,1836.5,21.48840379
FBgn0171111,scaffold_2298;scaffold_2298;scaffold_2298,1489;1604;4137,1548;1729;4283,+;+;+,333,0,0,0,0
FBgn0171112,scaffold_150;scaffold_150;scaffold_150;scaffold_150;scaffold_150,38840;39090;39811;46952;55427,39037;39667;40050;47303;55489,-;-;-;-;-,1431,1,8,4.5,0.1607195594
FBgn0171113,scaffold_150;scaffold_150;scaffold_150;scaffold_150,5037;5442;5812;7321,5234;5668;6175;7383,-;-;-;-,852,86,79,82.5,4.94891742
CG11070,scaffold_3;scaffold_3;scaffold_3,2197567;2198350;2198825,2198293;2198732;2200696,+;+;+,2982,1755,1722,1738.5,29.79633917
FBgn0171115,scaffold_10108;scaffold_10108,50;338,273;704,+;+,591,9,8,8.5,0.7350676297
FBgn0171116,scaffold_7719,335,502,-,168,0,0,0,0
FBgn0171117,scaffold_525,1937,2218,-,282,0,0,0,0
FBgn0171118,scaffold_525,1211,1885,-,675,0,0,0,0
FBgn0171119,scaffold_1544,2629,2883,-,255,0,0,0,0
cup,scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3,2203107;2203979;2207402;2208030;2208843;2213347,2203589;2204836;2207953;2208774;2209571;2213360,+;+;+;+;+;+,3381,383,310,346.5,5.237860425
FBgn0171121,scaffold_14503,603,785,-,183,0,0,0,0
FBgn0171122,scaffold_6258,867,1079,+,213,0,0,0,0
FBgn0171123,scaffold_14028;scaffold_14028;scaffold_14028,36;216;692,150;381;737,+;+;+,327,1412,1342,1377,215.2197095
CG11188,scaffold_3;scaffold_3,2256363;2257795,2257732;2257897,+;+,1473,241,228,234.5,8.136468613
FBgn0171125,scaffold_9296;scaffold_9296,345;941,786;1164,-;-,666,0,0,0,0
Liprin-alpha,scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3,2263524;2263834;2264442;2264868;2265039;2265264;2265861;2266553;2267569;2268261;2268518;2268752;2269127;2269302,2263772;2263935;2264795;2264969;2265206;2265383;2265989;2267470;2268194;2268463;2268625;2269071;2269243;2269391,+;+;+;+;+;+;+;+;+;+;+;+;+;+,3606,199,183,191,2.707095009
FBgn0171127,scaffold_4327,512,673,+,162,0,0,0,0
TTLL3B,scaffold_3;scaffold_3;scaffold_3,2271937;2273337;2274230,2273266;2274145;2274361,+;+;+,2271,123,112,117.5,2.644335684
FBgn0171129,scaffold_9751,737,1366,+,630,0,0,0,0
CG11221,scaffold_3;scaffold_3,2281762;2292781,2281774;2294138,+;+,1371,211,214,212.5,7.921680692
FBgn0171131,scaffold_6102;scaffold_6102,398;1137,1019;1180,-;-,666,0,0,0,0
CG17378,scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3,2313333;2314620;2314750;2314916;2316266;2316423,2313527;2314683;2314863;2316191;2316360;2316499,+;+;+;+;+;+,1821,1969,1966,1967.5,55.2205399
CG11236,scaffold_3;scaffold_3;scaffold_3;scaffold_3,2341692;2341947;2342229;2342583,2341894;2342159;2342525;2342895,+;+;+;+,1026,30,30,30,1.494409939
FBgn0171134,scaffold_3870;scaffold_3870;scaffold_3870;scaffold_3870;scaffold_3870,606;755;995;1287;1685,662;933;1223;1629;2121,-;-;-;-;-,1245,3,1,2,0.08210252193
CG14104,scaffold_29,461278,461484,-,207,16,19,17.5,4.320793953
FBgn0171136,scaffold_3,2361651,2362214,+,564,58,58,58,5.25587155
FBgn0171137,scaffold_13022,234,815,+,582,0,0,0,0
FBgn0171138,scaffold_127,9105,9389,-,285,116,103,109.5,19.63654659
sens-2,scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3,2362512;2371100;2372085;2372965;2377739,2362971;2371901;2372486;2373146;2378130,+;+;+;+;+,2238,887,854,870.5,19.87945832
FBgn0171140,scaffold_6857,582,965,-,384,0,0,0,0
FBgn0171141,scaffold_363;scaffold_363,10204;10548,10489;10993,-;-,732,0,0,0,0
Rca1,scaffold_3,2392592,2393821,+,1230,133,125,129,5.360193307
FBgn0171143,scaffold_469,9025,9432,-,408,0,0,0,0
FBgn0171144,scaffold_469;scaffold_469,8973;9192,8986;9408,+;+,231,0,0,0,0
FBgn0171145,scaffold_469,9614,10015,+,402,0,0,0,0
FBgn0171146,scaffold_3343,1169,1480,-,312,0,0,0,0
FBgn0171147,scaffold_3343,324,698,+,375,0,0,0,0
FBgn0171148,scaffold_3343,1759,2169,+,411,0,0,0,0
FBgn0171149,scaffold_3;scaffold_3;scaffold_3;scaffold_3,2394418;2395689;2396015;2399790,2395586;2395951;2399725;2400940,+;+;+;+,6294,296,287,291.5,2.367051319
Crg-1,scaffold_7979,255,395,+,141,0,0,0,0
FBgn0171151,scaffold_3,2431008,2431217,+,210,5,4,4.5,1.095188998
FBgn0171152,scaffold_2981;scaffold_2981,1069;2244,2141;2274,-;-,1104,0,0,0,0
neuroligin,scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3,2431232;2434965;2435952;2436469;2436912;2437078;2437334;2437583;2437772;2438171;2438396;2438617,2431884;2435197;2436308;2436664;2437013;2437273;2437522;2437725;2438109;2438326;2438557;2439641,+;+;+;+;+;+;+;+;+;+;+;+,3750,174,168,171,2.330562188
FBgn0171154,scaffold_1696;scaffold_1696,479;2813,1122;2831,+;+,663,0,0,0,0
FBgn0171155,scaffold_14529;scaffold_14529,9;333,277;606,+;+,543,0,0,0,0
FBgn0171156,scaffold_6429,619,1149,-,531,0,0,0,0
FBgn0171157,scaffold_3,2441875,2443269,+,1395,187,192,189.5,6.942739334
FBgn0171158,scaffold_8443,3,284,-,282,0,0,0,0
FBgn0171159,scaffold_1803;scaffold_1803,2589;2737,2652;3041,-;-,369,0,0,0,0
FBgn0171160,scaffold_1803;scaffold_1803,1031;1179,1094;1483,-;-,369,1,1,1,0.138506287
FBgn0171161,scaffold_1803;scaffold_1803,10;350,126;511,+;+,279,0,0,0,0
FBgn0171162,scaffold_1803,597,875,+,279,0,0,0,0
FBgn0171163,scaffold_1803,2044,2433,+,390,0,1,0.5,0.06552412808
FBgn0171164,scaffold_1803,3602,3991,+,390,1,0,0.5,0.06552412808
FBgn0171165,scaffold_6602;scaffold_6602,304;1133,1065;1207,-;-,837,0,1,0.5,0.03053095574
FBgn0171166,scaffold_3,2443289,2444584,+,1296,410,416,413,16.28699276
FBgn0171167,scaffold_67,17771,18700,+,930,0,0,0,0
Hrb27C,scaffold_3;scaffold_3,2456693;2457482,2457187;2458252,+;+,1266,715,684,699.5,28.23903596
SA,scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3,2483230;2483364;2483737;2483966;2484319;2484814;2485709;2486128;2486481,2483300;2483679;2483910;2484265;2484752;2485649;2486067;2486418;2486915,+;+;+;+;+;+;+;+;+,3216,732,719,725.5,11.52967937
FBgn0171170,scaffold_29,459703,460338,-,636,226,215,220.5,17.71933143
CG3430,scaffold_3;scaffold_3;scaffold_3,2489789;2491033;2491343,2490978;2491276;2491726,+;+;+,1818,59,57,58,1.630534408
FBgn0171172,scaffold_10446;scaffold_10446,662;1260,823;1334,+;+,237,0,0,0,0
FBgn0171173,scaffold_14522,356,766,+,411,0,0,0,0
FBgn0171174,scaffold_1011;scaffold_1011,1647;3171,2021;5591,+;+,2796,0,0,0,0
FBgn0171175,scaffold_3;scaffold_3,2493089;2493193,2493133;2494119,+;+,972,157,159,158,8.307812289
FBgn0171176,scaffold_10610;scaffold_10610,156;719,662;1342,-;-,1131,0,0,0,0
Coprox,scaffold_3;scaffold_3,2497144;2497752,2497681;2498317,+;+,1104,499,490,494.5,22.89249225
FBgn0171178,scaffold_9150,52,1077,+,1026,0,0,0,0
FBgn0171179,scaffold_3,2504855,2505370,+,516,7,5,6,0.5942886035
FBgn0171180,scaffold_3088;scaffold_3088,590;724,620;1802,+;+,1110,0,0,0,0
FBgn0171181,scaffold_12834,876,1094,-,219,0,0,0,0
FBgn0171182,scaffold_10148,45,215,-,171,0,0,0,0
FBgn0171183,scaffold_3,2538093,2538290,+,198,14,12,13,3.35562959
FBgn0171184,scaffold_3174,1715,1915,-,201,0,0,0,0
FBgn0171185,scaffold_8656,86,334,-,249,0,0,0,0
FBgn0171186,scaffold_3;scaffold_3,2539247;2539404,2539333;2540396,+;+,1080,206,199,202.5,9.582903732
FBgn0171187,scaffold_62,3634,3918,+,285,0,0,0,0
FBgn0171188,scaffold_62,43322,43543,+,222,0,0,0,0
Pcp,scaffold_3;scaffold_3,2547174;2547425,2547245;2547967,+;+,615,88,83,85.5,7.105372523
FBgn0171190,scaffold_1955;scaffold_1955,123;542,449;664,+;+,450,0,0,0,0
CG3476,scaffold_3;scaffold_3;scaffold_3;scaffold_3,2553225;2553402;2553902;2554139,2553341;2553834;2554078;2554311,+;+;+;+,900,495,483,489,27.76912548
FBgn0171192,scaffold_1390;scaffold_1390,3412;3831,3484;3952,-;-,195,0,0,0,0
FBgn0171193,scaffold_845;scaffold_845;scaffold_845;scaffold_845;scaffold_845,323;560;856;1075;1499,332;796;1002;1359;1509,+;+;+;+;+,690,4,7,5.5,0.4073891442
CG11266,scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3,2557985;2560377;2560603;2561082;2561715,2558038;2560531;2561007;2561619;2562353,+;+;+;+;+,1791,4764,4725,4744.5,135.3912876
FBgn0171195,scaffold_6594,1468,1821,-,354,0,0,0,0
FBgn0171196,scaffold_9605,730,1140,-,411,0,0,0,0
FBgn0171197,scaffold_9070,604,759,+,156,0,0,0,0
FBgn0171198,scaffold_3;scaffold_3;scaffold_3,2565482;2565838;2567777,2565656;2566047;2567805,+;+;+,414,22,18,20,2.469025116
CG10011,scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22,1037496;1037747;1038063;1038310;1038703,1037679;1038002;1038246;1038620;1044124,-;-;-;-;-,6357,216,235,225.5,1.812968206
Noa36,scaffold_22;scaffold_22,1026526;1027075,1026981;1027566,-;-,948,717,695,706,38.06205364
FBgn0171201,scaffold_22;scaffold_22,1019363;1023457,1019574;1023538,-;-,294,9,9,9,1.564555711
fkh,scaffold_22,1011506,1013023,-,1518,39,39,39,1.313072448
FBgn0171203,scaffold_22,1010960,1011466,-,507,44,33,38.5,3.881044509
CG14103,scaffold_29;scaffold_29;scaffold_29,458339;458625;458815,458569;458746;459364,-;-;-,903,940,928,934,52.86338626
FBgn0171205,scaffold_3,2571341,2572195,+,855,9,7,8,0.4782111804
FBgn0171206,scaffold_22;scaffold_22,993784;994558,993942;994644,-;-,246,0,0,0,0
CG12413,scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22,971202;972101;972574;973209;973434,972035;972520;973142;973329;973580,-;-;-;-;-,2091,146,142,144,3.519689176
Ppn,scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22,950131;950359;950535;950806;951473;951686;952519;952772;953026;953266;954409;954863;955102;958741;959103;960272;960510;968809,950300;950475;950693;951222;951623;952251;952689;952966;953209;954302;954579;955042;958684;959044;960131;960450;960570;968831,-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,8697,475,475,475,2.791386622
CG31051,scaffold_22;scaffold_22;scaffold_22,948655;949040;949356,948988;949284;949427,-;-;-,651,429,408,418.5,32.85566994
FBgn0171210,scaffold_22,845225,845440,-,216,0,0,0,0
Gfat2,scaffold_22;scaffold_22,766857;767420,767231;769096,-;-,2052,1047,1029,1038,25.85329194
FBgn0171213,scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22,753133;753383;754541;755259;763221,753220;754374;754608;755571;764027,-;-;-;-;-,2268,29,31,30,0.6760425913
CG12516,scaffold_22,733052,733927,-,876,14,14,14,0.816807624
FBgn0171216,scaffold_3;scaffold_3;scaffold_3;scaffold_3,2575443;2576259;2576652;2578373,2575845;2576537;2578254;2579450,+;+;+;+,3363,2024,1931,1977.5,30.05283716
CG4815,scaffold_22,437887,438684,-,798,0,0,0,0
FBgn0171218,scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22,415391;415553;417132;417581;417853;421126;422319;436168,415486;415875;417396;417748;418020;421355;422553;436224,-;-;-;-;-;-;-;-,1542,3501,3313,3407,112.9233135
FBgn0171219,scaffold_22,410318,411481,-,1164,0,0,0,0
FBgn0171220,scaffold_22;scaffold_22,409099;409992,409933;410089,-;-,933,129,128,128.5,7.039103277
CG4884,scaffold_22;scaffold_22;scaffold_22,408326;408582;408717,408529;408654;409009,-;-;-,570,198,214,206,18.47090684
CG4951,scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22,403640;403874;404025;404409;404910,403811;403966;404222;404854;404960,-;-;-;-;-,960,214,206,210,11.18005435
FBgn0171223,scaffold_22;scaffold_22,403133;403365,403306;403559,-;-,369,21,23,22,3.047138314
mfrn,scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22,394984;395535;395765;396061;396247;398129,395394;395696;396000;396185;396335;398245,-;-;-;-;-;-,1140,1273,1234,1253.5,56.19728574
Mes-4,scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22,384163;384353;384540;387039;388381,384294;384478;386970;388287;388699,-;-;-;-;-,4257,210,215,212.5,2.551238955
FBgn0171226,scaffold_22,378582,379238,-,657,1,4,2.5,0.1944780057
Mnn1,scaffold_3;scaffold_3;scaffold_3;scaffold_3,2582500;2582957;2583486;2586050,2582767;2583418;2584291;2586805,+;+;+;+,2292,586,577,581.5,12.96674467
FBgn0171228,scaffold_22,376082,376273,-,192,0,0,0,0
CG4980,scaffold_22;scaffold_22,372509;373338,373270;373412,-;-,837,6,11,8.5,0.5190262475
CG12259,scaffold_22,371141,372220,-,1080,310,300,305,14.43350932
CG33213,scaffold_22,369441,370466,-,1026,47,43,45,2.241614908
CG5003,scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22,365273;366595;366810;366991;367348,366541;366756;366932;367261;367622,-;-;-;-;-,2100,455,440,447.5,10.89104615
FBgn0171233,scaffold_22,358951,359115,-,165,0,0,0,0
CG12426,scaffold_22;scaffold_22;scaffold_22,327906;328271;328514,328175;328450;328564,-;-;-,501,12,12,12,1.224163351
FBgn0171235,scaffold_22;scaffold_22,295367;297359,295488;297602,-;-,366,1,0,0.5,0.06982079222
FBgn0171236,scaffold_22;scaffold_22,262504;263478,262541;263577,-;-,138,1,2,1.5,0.5555306511
FBgn0171237,scaffold_22;scaffold_22,256629;257091,256837;257217,-;-,336,5,3,4,0.6084383322
FBgn0171238,scaffold_3;scaffold_3,2589134;2589301,2589245;2589428,+;+,240,1717,1722,1719.5,366.1733993
FBgn0171239,scaffold_22,250556,250744,-,189,8,9,8.5,2.29854481
FBgn0171240,scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22,232756;233581;240786;241177;243674,232874;233625;240844;241560;243882,-;-;-;-;-,816,89,92,90.5,5.668318874
FBgn0171241,scaffold_22,229533,229625,-,93,1,1,1,0.5495572033
FBgn0171242,scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22,172354;172544;173017;173200;174077,172486;172960;173147;173997;174454,-;-;-;-;-,1857,809,800,804.5,22.14165084
FBgn0171243,scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22,165395;165568;165813;167739;168088;168426,165510;165753;167408;168020;168206;168637,-;-;-;-;-;-,2511,5042,4914,4978,101.3220651
CG31055,scaffold_22;scaffold_22;scaffold_22;scaffold_22,155077;155253;155739;156743,155188;155360;156682;156835,-;-;-;-,1257,57,55,56,2.276924355
Sce,scaffold_22;scaffold_22,149524;149628,149568;150887,-;-,1305,419,401,410,16.05717713
FBgn0171246,scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22,110596;112937;114289;115080;115347;116551;125175,110655;113095;114474;115282;115536;116594;125412,-;-;-;-;-;-;-,1080,2696,2685,2690.5,127.3224814
CG31058,scaffold_22;scaffold_22,109277;110295,109462;110363,-;-,255,1249,1270,1259.5,252.437485
CG11289,scaffold_3;scaffold_3,2592059;2592766,2592714;2593618,+;+,1509,0,0,0,0
CG5611,scaffold_22;scaffold_22,104096;104263,104202;105136,-;-,981,146,129,137.5,7.163570578
CG5612,scaffold_22;scaffold_22;scaffold_22;scaffold_22,92696;93263;93446;94858,93190;93390;93863;95103,-;-;-;-,1287,452,445,448.5,17.81064936
dsd,scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22,58281;61239;63004;63116;63336;69063,58438;61640;63051;63273;63572;69334,-;-;-;-;-;-,1275,172,172,172,6.894680018
CG5639,scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22,46018;47366;49081;49582;50361;52695,47297;49021;49519;50030;50645;52791,-;-;-;-;-;-,4206,682,679,680.5,8.269032797
wdb,scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22,25047;25395;25682;26080;26335;26646;26909,25332;25588;26015;26270;26529;26845;27047,-;-;-;-;-;-;-,1539,1410,1418,1414,46.95768118
CG5646,scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22,19111;19568;19742;20234;20641,19507;19682;19982;20346;20686,-;-;-;-;-,912,950,941,945.5,52.98617239
Klp98A,scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22,8227;8530;8764;9863;10084;10372;10606;11401;12040;12274;14897;17823,8469;8705;9808;9976;10206;10545;11337;11836;12209;12587;15120;17869,-;-;-;-;-;-;-;-;-;-;-;-,3798,1459,1411,1435,19.31046776
FBgn0171256,scaffold_22,1124,1312,-,189,2,0,1,0.2704170365
FBgn0171257,scaffold_22;scaffold_22;scaffold_22;scaffold_22,4033;6425;6558;6783,4882;6501;6725;6902,+;+;+;+,1215,0,0,0,0
raps,scaffold_22;scaffold_22,42387;43961,43673;44650,+;+,1977,422,416,419,10.83186421
CG4495,scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3,2705981;2706344;2706810;2707053;2707146;2707418;2707513;2707683;2708265;2708788,2706273;2706536;2706969;2707060;2707308;2707455;2707627;2707843;2708724;2708942,+;+;+;+;+;+;+;+;+;+,1746,1452,1453,1452.5,42.51750338
Tusp,scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22,98105;98457;98679;99201;99777;100065;100402;102372;102765;103020,98107;98621;99138;99718;100005;100336;102315;102707;102956;103136,+;+;+;+;+;+;+;+;+;+,4206,1198,1154,1176,14.29005521
Mtl,scaffold_22;scaffold_22;scaffold_22;scaffold_22,106957;107144;107449;107692,107072;107376;107609;107769,+;+;+;+,588,13,29,21,1.825314997
FBgn0171262,scaffold_22,121913,122407,+,495,13,12,12.5,1.290626765
CG18437,scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22,129744;132154;133381;133460;133848;134203;134394;134774;135038;135400;136062;136317;136817;137354;137753;137915;138592;139440;139636;139992;140226;140887;141501;142810;144656;144894;145611,129761;132408;133401;133792;134147;134340;134707;134973;135219;135512;136197;136752;137014;137696;137858;138532;139324;139577;139934;140170;140799;141444;142754;144267;144824;145549;145844,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,9963,327,322,324.5,1.664640375
CG5590,scaffold_22,146618,147859,+,1242,1234,1196,1215,49.9977586
CG12883,scaffold_22;scaffold_22,148385;148479,148405;148931,+;+,474,193,187,190,20.48665777
CG12880,scaffold_22;scaffold_22;scaffold_22;scaffold_22,154968;158550;159296;160420,155047;158768;159602;160806,+;+;+;+,993,24,24,24,1.235258487
FBgn0171267,scaffold_22;scaffold_22,163016;163885,163138;165132,+;+,1371,122,118,120,4.473419685
btz,scaffold_22,169286,171568,+,2283,1333,1261,1297,29.0355407
CG12877,scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22,175785;175952;177058;177423;178192;178843;179182,175893;176895;177364;177933;178785;179102;179261,+;+;+;+;+;+;+,2805,375,363,369,6.723406255
CG31909,scaffold_3,2780375,2780722,+,348,13,11,12,1.7623731
FBgn0171271,scaffold_22;scaffold_22,194252;194971,194372;195119,+;+,270,0,0,0,0
Ets98B,scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22,199989;206535;207376;209277;209527,200027;207315;207536;209436;209939,+;+;+;+;+,1554,514,505,509.5,16.75672055
FBgn0171273,scaffold_22,290025,290195,+,171,0,0,0,0
Or98a,scaffold_22;scaffold_22;scaffold_22,309072;309890;310306,309832;310247;310380,+;+;+,1194,679,688,683.5,29.25701709
CG5017,scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22,363798;364110;364290;364578;364715,364030;364233;364518;364663;364894,+;+;+;+;+,852,71,67,69,4.13909457
mRpS22,scaffold_22,368185,369366,+,1182,890,885,887.5,38.3748542
RpL4,scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22,374063;374271;374516;375080;375297,374065;374451;374886;375108;375948,+;+;+;+;+,1236,4178,3677,3927.5,162.4028238
CG5508,scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22,376986;380290;381013;381236;382316;382682;383084;383453,377098;380407;381177;382227;382620;383019;383393;383661,+;+;+;+;+;+;+;+,2550,538,512,525,10.5224041
