Geneid	Chr	Start	End	Strand	Length	D:\class\2023-1\bioinf\finalproject\data\D_sech_taiwan\output\SRR1952772_1_alignment.sam	D:\class\2023-1\bioinf\finalproject\data\D_sech_taiwan\output\SRR1952772_2_alignment.sam
FBgn0171129	scaffold_9751	737	1366	+	630	0	0
FBgn0171130	scaffold_3;scaffold_3	2281762;2292781	2281774;2294138	+;+	1371	124	118
FBgn0171131	scaffold_6102;scaffold_6102	398;1137	1019;1180	-;-	666	0	0
FBgn0171132	scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3	2313333;2314620;2314750;2314916;2316266;2316423	2313527;2314683;2314863;2316191;2316360;2316499	+;+;+;+;+;+	1821	1090	1050
FBgn0171133	scaffold_3;scaffold_3;scaffold_3;scaffold_3	2341692;2341947;2342229;2342583	2341894;2342159;2342525;2342895	+;+;+;+	1026	9	7
FBgn0171134	scaffold_3870;scaffold_3870;scaffold_3870;scaffold_3870;scaffold_3870	606;755;995;1287;1685	662;933;1223;1629;2121	-;-;-;-;-	1245	4	0
FBgn0171135	scaffold_29	461278	461484	-	207	6	7
FBgn0171136	scaffold_3	2361651	2362214	+	564	35	44
FBgn0171137	scaffold_13022	234	815	+	582	1	0
FBgn0171138	scaffold_127	9105	9389	-	285	93	91
FBgn0171139	scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3	2362512;2371100;2372085;2372965;2377739	2362971;2371901;2372486;2373146;2378130	+;+;+;+;+	2238	480	463
FBgn0171140	scaffold_6857	582	965	-	384	0	0
FBgn0171141	scaffold_363;scaffold_363	10204;10548	10489;10993	-;-	732	0	0
FBgn0171142	scaffold_3	2392592	2393821	+	1230	109	108
FBgn0171143	scaffold_469	9025	9432	-	408	0	0
FBgn0171144	scaffold_469;scaffold_469	8973;9192	8986;9408	+;+	231	0	0
FBgn0171145	scaffold_469	9614	10015	+	402	0	0
FBgn0171146	scaffold_3343	1169	1480	-	312	0	0
FBgn0171147	scaffold_3343	324	698	+	375	0	0
FBgn0171148	scaffold_3343	1759	2169	+	411	0	0
FBgn0171149	scaffold_3;scaffold_3;scaffold_3;scaffold_3	2394418;2395689;2396015;2399790	2395586;2395951;2399725;2400940	+;+;+;+	6294	201	194
FBgn0171150	scaffold_7979	255	395	+	141	0	0
FBgn0171151	scaffold_3	2431008	2431217	+	210	0	0
FBgn0171152	scaffold_2981;scaffold_2981	1069;2244	2141;2274	-;-	1104	0	0
FBgn0171153	scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3	2431232;2434965;2435952;2436469;2436912;2437078;2437334;2437583;2437772;2438171;2438396;2438617	2431884;2435197;2436308;2436664;2437013;2437273;2437522;2437725;2438109;2438326;2438557;2439641	+;+;+;+;+;+;+;+;+;+;+;+	3750	29	30
FBgn0171154	scaffold_1696;scaffold_1696	479;2813	1122;2831	+;+	663	0	0
FBgn0171155	scaffold_14529;scaffold_14529	9;333	277;606	+;+	543	0	0
FBgn0171156	scaffold_6429	619	1149	-	531	0	0
FBgn0171157	scaffold_3	2441875	2443269	+	1395	105	102
FBgn0171158	scaffold_8443	3	284	-	282	0	0
FBgn0171159	scaffold_1803;scaffold_1803	2589;2737	2652;3041	-;-	369	0	0
FBgn0171160	scaffold_1803;scaffold_1803	1031;1179	1094;1483	-;-	369	0	0
FBgn0171161	scaffold_1803;scaffold_1803	10;350	126;511	+;+	279	0	2
FBgn0171162	scaffold_1803	597	875	+	279	0	0
FBgn0171163	scaffold_1803	2044	2433	+	390	0	0
FBgn0171164	scaffold_1803	3602	3991	+	390	0	0
FBgn0171165	scaffold_6602;scaffold_6602	304;1133	1065;1207	-;-	837	0	0
FBgn0171166	scaffold_3	2443289	2444584	+	1296	212	210
FBgn0171167	scaffold_67	17771	18700	+	930	1	0
FBgn0171168	scaffold_3;scaffold_3	2456693;2457482	2457187;2458252	+;+	1266	541	505
FBgn0171169	scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3	2483230;2483364;2483737;2483966;2484319;2484814;2485709;2486128;2486481	2483300;2483679;2483910;2484265;2484752;2485649;2486067;2486418;2486915	+;+;+;+;+;+;+;+;+	3216	429	413
FBgn0171170	scaffold_29	459703	460338	-	636	144	142
FBgn0171171	scaffold_3;scaffold_3;scaffold_3	2489789;2491033;2491343	2490978;2491276;2491726	+;+;+	1818	38	34
FBgn0171172	scaffold_10446;scaffold_10446	662;1260	823;1334	+;+	237	0	0
FBgn0171173	scaffold_14522	356	766	+	411	0	0
FBgn0171174	scaffold_1011;scaffold_1011	1647;3171	2021;5591	+;+	2796	0	0
FBgn0171175	scaffold_3;scaffold_3	2493089;2493193	2493133;2494119	+;+	972	79	79
FBgn0171176	scaffold_10610;scaffold_10610	156;719	662;1342	-;-	1131	0	0
FBgn0171177	scaffold_3;scaffold_3	2497144;2497752	2497681;2498317	+;+	1104	265	257
FBgn0171178	scaffold_9150	52	1077	+	1026	0	0
FBgn0171179	scaffold_3	2504855	2505370	+	516	0	0
FBgn0171180	scaffold_3088;scaffold_3088	590;724	620;1802	+;+	1110	0	0
FBgn0171181	scaffold_12834	876	1094	-	219	0	0
FBgn0171182	scaffold_10148	45	215	-	171	0	0
FBgn0171183	scaffold_3	2538093	2538290	+	198	8	6
FBgn0171184	scaffold_3174	1715	1915	-	201	0	0
FBgn0171185	scaffold_8656	86	334	-	249	1	0
FBgn0171186	scaffold_3;scaffold_3	2539247;2539404	2539333;2540396	+;+	1080	111	100
FBgn0171187	scaffold_62	3634	3918	+	285	0	0
FBgn0171188	scaffold_62	43322	43543	+	222	0	0
FBgn0171189	scaffold_3;scaffold_3	2547174;2547425	2547245;2547967	+;+	615	37	34
FBgn0171190	scaffold_1955;scaffold_1955	123;542	449;664	+;+	450	0	0
FBgn0171191	scaffold_3;scaffold_3;scaffold_3;scaffold_3	2553225;2553402;2553902;2554139	2553341;2553834;2554078;2554311	+;+;+;+	900	278	282
FBgn0171192	scaffold_1390;scaffold_1390	3412;3831	3484;3952	-;-	195	0	0
FBgn0171193	scaffold_845;scaffold_845;scaffold_845;scaffold_845;scaffold_845	323;560;856;1075;1499	332;796;1002;1359;1509	+;+;+;+;+	690	11	17
FBgn0171194	scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3	2557985;2560377;2560603;2561082;2561715	2558038;2560531;2561007;2561619;2562353	+;+;+;+;+	1791	2408	2367
FBgn0171195	scaffold_6594	1468	1821	-	354	0	0
FBgn0171196	scaffold_9605	730	1140	-	411	0	0
FBgn0171197	scaffold_9070	604	759	+	156	0	0
FBgn0171198	scaffold_3;scaffold_3;scaffold_3	2565482;2565838;2567777	2565656;2566047;2567805	+;+;+	414	34	37
FBgn0171199	scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22	1037496;1037747;1038063;1038310;1038703	1037679;1038002;1038246;1038620;1044124	-;-;-;-;-	6357	166	154
FBgn0171200	scaffold_22;scaffold_22	1026526;1027075	1026981;1027566	-;-	948	399	385
FBgn0171201	scaffold_22;scaffold_22	1019363;1023457	1019574;1023538	-;-	294	2	0
FBgn0171202	scaffold_22	1011506	1013023	-	1518	36	34
FBgn0171203	scaffold_22	1010960	1011466	-	507	23	25
FBgn0171204	scaffold_29;scaffold_29;scaffold_29	458339;458625;458815	458569;458746;459364	-;-;-	903	516	514
FBgn0171205	scaffold_3	2571341	2572195	+	855	7	7
FBgn0171206	scaffold_22;scaffold_22	993784;994558	993942;994644	-;-	246	0	0
FBgn0171207	scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22	971202;972101;972574;973209;973434	972035;972520;973142;973329;973580	-;-;-;-;-	2091	91	91
FBgn0171208	scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22	950131;950359;950535;950806;951473;951686;952519;952772;953026;953266;954409;954863;955102;958741;959103;960272;960510;968809	950300;950475;950693;951222;951623;952251;952689;952966;953209;954302;954579;955042;958684;959044;960131;960450;960570;968831	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	8697	155	147
FBgn0171209	scaffold_22;scaffold_22;scaffold_22	948655;949040;949356	948988;949284;949427	-;-;-	651	224	203
FBgn0171210	scaffold_22	845225	845440	-	216	0	0
FBgn0171212	scaffold_22;scaffold_22	766857;767420	767231;769096	-;-	2052	699	687
FBgn0171213	scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22	753133;753383;754541;755259;763221	753220;754374;754608;755571;764027	-;-;-;-;-	2268	53	54
FBgn0171214	scaffold_22	733052	733927	-	876	0	0
FBgn0171216	scaffold_3;scaffold_3;scaffold_3;scaffold_3	2575443;2576259;2576652;2578373	2575845;2576537;2578254;2579450	+;+;+;+	3363	1332	1282
FBgn0171217	scaffold_22	437887	438684	-	798	1	1
FBgn0171218	scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22	415391;415553;417132;417581;417853;421126;422319;436168	415486;415875;417396;417748;418020;421355;422553;436224	-;-;-;-;-;-;-;-	1542	1662	1604
FBgn0171219	scaffold_22	410318	411481	-	1164	0	0
FBgn0171220	scaffold_22;scaffold_22	409099;409992	409933;410089	-;-	933	75	79
FBgn0171221	scaffold_22;scaffold_22;scaffold_22	408326;408582;408717	408529;408654;409009	-;-;-	570	118	112
FBgn0171222	scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22	403640;403874;404025;404409;404910	403811;403966;404222;404854;404960	-;-;-;-;-	960	134	127
FBgn0171223	scaffold_22;scaffold_22	403133;403365	403306;403559	-;-	369	16	15
FBgn0171224	scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22	394984;395535;395765;396061;396247;398129	395394;395696;396000;396185;396335;398245	-;-;-;-;-;-	1140	706	687
FBgn0171225	scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22	384163;384353;384540;387039;388381	384294;384478;386970;388287;388699	-;-;-;-;-	4257	138	119
FBgn0171226	scaffold_22	378582	379238	-	657	0	0
FBgn0171227	scaffold_3;scaffold_3;scaffold_3;scaffold_3	2582500;2582957;2583486;2586050	2582767;2583418;2584291;2586805	+;+;+;+	2292	343	346
FBgn0171228	scaffold_22	376082	376273	-	192	0	1
FBgn0171229	scaffold_22;scaffold_22	372509;373338	373270;373412	-;-	837	5	3
FBgn0171230	scaffold_22	371141	372220	-	1080	183	174
FBgn0171231	scaffold_22	369441	370466	-	1026	26	24
FBgn0171232	scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22	365273;366595;366810;366991;367348	366541;366756;366932;367261;367622	-;-;-;-;-	2100	275	276
FBgn0171233	scaffold_22	358951	359115	-	165	0	0
FBgn0171234	scaffold_22;scaffold_22;scaffold_22	327906;328271;328514	328175;328450;328564	-;-;-	501	2	3
FBgn0171235	scaffold_22;scaffold_22	295367;297359	295488;297602	-;-	366	5	6
FBgn0171236	scaffold_22;scaffold_22	262504;263478	262541;263577	-;-	138	1	0
FBgn0171237	scaffold_22;scaffold_22	256629;257091	256837;257217	-;-	336	2	4
FBgn0171238	scaffold_3;scaffold_3	2589134;2589301	2589245;2589428	+;+	240	634	641
FBgn0171239	scaffold_22	250556	250744	-	189	5	7
FBgn0171240	scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22	232756;233581;240786;241177;243674	232874;233625;240844;241560;243882	-;-;-;-;-	816	67	74
FBgn0171241	scaffold_22	229533	229625	-	93	0	0
FBgn0171242	scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22	172354;172544;173017;173200;174077	172486;172960;173147;173997;174454	-;-;-;-;-	1857	522	524
FBgn0171243	scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22	165395;165568;165813;167739;168088;168426	165510;165753;167408;168020;168206;168637	-;-;-;-;-;-	2511	2601	2446
FBgn0171244	scaffold_22;scaffold_22;scaffold_22;scaffold_22	155077;155253;155739;156743	155188;155360;156682;156835	-;-;-;-	1257	0	0
FBgn0171245	scaffold_22;scaffold_22	149524;149628	149568;150887	-;-	1305	256	250
FBgn0171246	scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22	110596;112937;114289;115080;115347;116551;125175	110655;113095;114474;115282;115536;116594;125412	-;-;-;-;-;-;-	1080	1580	1492
FBgn0171247	scaffold_22;scaffold_22	109277;110295	109462;110363	-;-	255	625	592
FBgn0171248	scaffold_3;scaffold_3	2592059;2592766	2592714;2593618	+;+	1509	1	1
FBgn0171249	scaffold_22;scaffold_22	104096;104263	104202;105136	-;-	981	74	75
FBgn0171250	scaffold_22;scaffold_22;scaffold_22;scaffold_22	92696;93263;93446;94858	93190;93390;93863;95103	-;-;-;-	1287	271	257
FBgn0171251	scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22	58281;61239;63004;63116;63336;69063	58438;61640;63051;63273;63572;69334	-;-;-;-;-;-	1275	94	94
FBgn0171252	scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22	46018;47366;49081;49582;50361;52695	47297;49021;49519;50030;50645;52791	-;-;-;-;-;-	4206	370	370
FBgn0171253	scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22	25047;25395;25682;26080;26335;26646;26909	25332;25588;26015;26270;26529;26845;27047	-;-;-;-;-;-;-	1539	720	726
FBgn0171254	scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22	19111;19568;19742;20234;20641	19507;19682;19982;20346;20686	-;-;-;-;-	912	323	313
FBgn0171255	scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22	8227;8530;8764;9863;10084;10372;10606;11401;12040;12274;14897;17823	8469;8705;9808;9976;10206;10545;11337;11836;12209;12587;15120;17869	-;-;-;-;-;-;-;-;-;-;-;-	3798	802	806
FBgn0171256	scaffold_22	1124	1312	-	189	0	0
FBgn0171257	scaffold_22;scaffold_22;scaffold_22;scaffold_22	4033;6425;6558;6783	4882;6501;6725;6902	+;+;+;+	1215	0	0
FBgn0171258	scaffold_22;scaffold_22	42387;43961	43673;44650	+;+	1977	243	244
FBgn0171259	scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3	2705981;2706344;2706810;2707053;2707146;2707418;2707513;2707683;2708265;2708788	2706273;2706536;2706969;2707060;2707308;2707455;2707627;2707843;2708724;2708942	+;+;+;+;+;+;+;+;+;+	1746	823	820
FBgn0171260	scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22	98105;98457;98679;99201;99777;100065;100402;102372;102765;103020	98107;98621;99138;99718;100005;100336;102315;102707;102956;103136	+;+;+;+;+;+;+;+;+;+	4206	742	727
FBgn0171261	scaffold_22;scaffold_22;scaffold_22;scaffold_22	106957;107144;107449;107692	107072;107376;107609;107769	+;+;+;+	588	10	15
FBgn0171262	scaffold_22	121913	122407	+	495	3	2
FBgn0171263	scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22	129744;132154;133381;133460;133848;134203;134394;134774;135038;135400;136062;136317;136817;137354;137753;137915;138592;139440;139636;139992;140226;140887;141501;142810;144656;144894;145611	129761;132408;133401;133792;134147;134340;134707;134973;135219;135512;136197;136752;137014;137696;137858;138532;139324;139577;139934;140170;140799;141444;142754;144267;144824;145549;145844	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	9963	55	51
FBgn0171264	scaffold_22	146618	147859	+	1242	749	721
FBgn0171265	scaffold_22;scaffold_22	148385;148479	148405;148931	+;+	474	105	108
FBgn0171266	scaffold_22;scaffold_22;scaffold_22;scaffold_22	154968;158550;159296;160420	155047;158768;159602;160806	+;+;+;+	993	11	8
FBgn0171267	scaffold_22;scaffold_22	163016;163885	163138;165132	+;+	1371	77	70
FBgn0171268	scaffold_22	169286	171568	+	2283	693	695
FBgn0171269	scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22	175785;175952;177058;177423;178192;178843;179182	175893;176895;177364;177933;178785;179102;179261	+;+;+;+;+;+;+	2805	246	251
FBgn0171270	scaffold_3	2780375	2780722	+	348	2	3
FBgn0171271	scaffold_22;scaffold_22	194252;194971	194372;195119	+;+	270	0	0
FBgn0171272	scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22	199989;206535;207376;209277;209527	200027;207315;207536;209436;209939	+;+;+;+;+	1554	186	185
FBgn0171273	scaffold_22	290025	290195	+	171	0	1
FBgn0171274	scaffold_22;scaffold_22;scaffold_22	309072;309890;310306	309832;310247;310380	+;+;+	1194	641	623
FBgn0171275	scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22	363798;364110;364290;364578;364715	364030;364233;364518;364663;364894	+;+;+;+;+	852	16	13
FBgn0171276	scaffold_22	368185	369366	+	1182	476	457
FBgn0171277	scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22	374063;374271;374516;375080;375297	374065;374451;374886;375108;375948	+;+;+;+;+	1236	2199	2315
FBgn0171278	scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22	376986;380290;381013;381236;382316;382682;383084;383453	377098;380407;381177;382227;382620;383019;383393;383661	+;+;+;+;+;+;+;+	2550	195	209
FBgn0171279	scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22	389670;389952;390682;391220;393603	389893;390622;391067;393149;393733	+;+;+;+;+	3342	820	790
FBgn0171280	scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22	399760;399878;400076;400247;401801	399799;399967;400158;401499;402698	+;+;+;+;+	2364	5235	5073
FBgn0171281	scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3	2830073;2831835;2835269;2836730;2837291	2830188;2832085;2835570;2837160;2837597	+;+;+;+;+	1407	4	4
FBgn0171282	scaffold_22;scaffold_22	405935;407128	407062;408135	+;+	2136	16	16
FBgn0171283	scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22	411988;412161;412882;413035;413282;414850	412101;412829;412973;413226;414784;415207	+;+;+;+;+;+	2928	122	122
FBgn0171284	scaffold_22;scaffold_22	479088;479896	479813;479949	+;+	780	5	3
FBgn0171285	scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22	497567;518995;521500;521947;527173;527509;528834;529789	498053;519082;521575;522043;527362;527901;528987;529818	+;+;+;+;+;+;+;+	1515	45	49
FBgn0171286	scaffold_22	592424	592951	+	528	11	8
FBgn0171287	scaffold_22;scaffold_22;scaffold_22;scaffold_22	664753;673002;673188;674946	664848;673104;673380;675294	+;+;+;+	741	11	14
FBgn0171288	scaffold_22	711600	711752	+	153	0	0
FBgn0171289	scaffold_22;scaffold_22;scaffold_22	713182;714048;716136	713420;714560;716298	+;+;+	915	15	13
FBgn0171290	scaffold_22	721343	722347	+	1005	1	0
FBgn0171291	scaffold_22	722795	723601	+	807	1	0
FBgn0171292	scaffold_3;scaffold_3;scaffold_3	2865880;2866150;2866785	2865919;2866664;2867246	+;+;+	1017	773	757
FBgn0171293	scaffold_22	723997	724332	+	336	0	0
FBgn0171294	scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22	769983;770923;771698;771790;771989;772193;772374;772629;773919	770286;771010;771727;771929;772136;772319;772568;773804;774602	+;+;+;+;+;+;+;+;+	2892	1317	1263
FBgn0171295	scaffold_22;scaffold_22	781693;782053	782002;782243	+;+	501	0	0
FBgn0171296	scaffold_22;scaffold_22	782310;783060	782900;783110	+;+	642	0	0
FBgn0171297	scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22	891124;892857;893236;902145;902632	891268;892948;893346;902414;903012	+;+;+;+;+	999	43	39
FBgn0171298	scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22	916266;916976;917535;917714;917962;918812;919662;919863;920149;921135;921518;922165;922527;922987;923921;924333;924702;925194;926568;926858;928251;928738;929957;930597;931090;931555;932353;933370;933905;934666;935780;936021;937816;938060;938915;939339;942331;943105;943662;944039;944435;946133;946713;947024;947360;947614;948151	916848;916996;917590;917837;918068;919038;919697;919993;920777;921325;922112;922471;922925;923860;924274;924624;924860;925286;926786;926992;928672;928933;930190;930702;931210;932299;932880;933528;934015;935496;935940;936345;938004;938853;939279;941644;942408;943570;943804;944369;944566;946356;946853;947128;947461;947760;948300	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	15144	14	16
FBgn0171299	scaffold_22;scaffold_22	983066;983522	983200;983638	+;+	252	0	0
FBgn0171300	scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22	1028623;1028809;1030876;1031116;1031706	1028667;1029298;1031051;1031422;1031779	+;+;+;+;+	1092	2504	2473
FBgn0171301	scaffold_22;scaffold_22;scaffold_22;scaffold_22	1034271;1034514;1034852;1035877	1034457;1034787;1035817;1035997	+;+;+;+	1548	148	147
FBgn0171302	scaffold_5773;scaffold_5773;scaffold_5773	333;860;1123	408;1067;1360	-;-;-	522	0	0
FBgn0171304	scaffold_13359	759	1049	-	291	0	0
FBgn0171305	scaffold_8914	1094	1468	-	375	0	0
FBgn0171306	scaffold_29;scaffold_29;scaffold_29	454465;454635;455549	454575;455341;456056	-;-;-	1326	72	66
FBgn0171307	scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3	2880002;2885046;2885364;2889902;2890410;2892096	2880186;2885193;2885442;2890284;2890869;2892283	+;+;+;+;+;+	1443	53	56
FBgn0171308	scaffold_8914	310	621	+	312	0	0
FBgn0171309	scaffold_4268;scaffold_4268;scaffold_4268	5;306;1896	186;331;2104	+;+;+	417	2	1
FBgn0171310	scaffold_7306	70	381	+	312	0	0
FBgn0171311	scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3;scaffold_3	2893403;2893776;2894698;2895703;2896055;2896407;2896760;2896965;2897124;2897762;2898010;2898477;2898805	2893687;2894639;2895635;2895995;2896326;2896693;2896909;2897062;2897177;2897949;2898425;2898753;2899185	+;+;+;+;+;+;+;+;+;+;+;+;+	4503	1753	1708
FBgn0171312	scaffold_11699	289	699	-	411	0	0
FBgn0171313	scaffold_8879	73	306	+	234	0	0
FBgn0171314	scaffold_1289;scaffold_1289;scaffold_1289;scaffold_1289;scaffold_1289	3398;3725;4065;4697;5162	3660;4004;4607;4851;5180	-;-;-;-;-	1260	18	9
FBgn0171315	scaffold_1289;scaffold_1289;scaffold_1289;scaffold_1289;scaffold_1289	161;355;519;715;1509	300;464;636;1451;1870	-;-;-;-;-	1467	0	0
FBgn0171317	scaffold_3;scaffold_3;scaffold_3	2903643;2904332;2905645	2904259;2905583;2905785	+;+;+	2010	218	219
FBgn0171318	scaffold_4237;scaffold_4237	338;2131	641;2291	+;+	465	0	1
FBgn0171319	scaffold_3	2914984	2915340	+	357	2	2
FBgn0171320	scaffold_7237	41	217	-	177	0	0
FBgn0171321	scaffold_31;scaffold_31;scaffold_31	534210;535304;542960	534317;535597;544627	-;-;-	2070	104	111
FBgn0171322	scaffold_31;scaffold_31	525372;527674	526216;528244	-;-	1416	204	194
FBgn0171323	scaffold_31;scaffold_31;scaffold_31;scaffold_31;scaffold_31;scaffold_31;scaffold_31;scaffold_31;scaffold_31;scaffold_31;scaffold_31;scaffold_31	340973;341218;341710;346853;353610;354198;354813;355183;363007;371127;412848;441120	341105;341295;341926;346945;353643;354391;355098;355500;363272;371250;413393;441209	-;-;-;-;-;-;-;-;-;-;-;-	2379	216	202
FBgn0171324	scaffold_31;scaffold_31;scaffold_31;scaffold_31;scaffold_31	291259;291633;292009;292387;292820	291573;291954;292110;292765;292856	-;-;-;-;-	1155	772	743
FBgn0171325	scaffold_31;scaffold_31;scaffold_31;scaffold_31;scaffold_31	283196;284005;284196;284528;290259	283951;284135;284470;284743;290374	-;-;-;-;-	1494	176	173
FBgn0171326	scaffold_3;scaffold_3;scaffold_3	2918784;2919015;2919701	2918848;2919636;2919835	+;+;+	822	166	158
FBgn0171327	scaffold_31	280583	280756	-	174	47	49
FBgn0171328	scaffold_31;scaffold_31;scaffold_31;scaffold_31;scaffold_31;scaffold_31;scaffold_31	271424;271605;271856;272079;272430;272991;273863	271548;271775;272023;272370;272936;273756;273903	-;-;-;-;-;-;-	2070	696	668
FBgn0171329	scaffold_31;scaffold_31;scaffold_31;scaffold_31;scaffold_31;scaffold_31	255558;255766;255956;256192;256466;256662	255709;255900;256128;256404;256599;256763	-;-;-;-;-;-	909	204	178
FBgn0171330	scaffold_31;scaffold_31;scaffold_31;scaffold_31;scaffold_31	249672;249907;250100;250417;250791	249847;250045;250361;250733;251957	-;-;-;-;-	2061	212	199
FBgn0171331	scaffold_31;scaffold_31;scaffold_31	244058;244309;244819	244292;244583;244836	-;-;-	528	2	2
FBgn0171332	scaffold_31;scaffold_31;scaffold_31;scaffold_31	239785;240263;241167;241350	240204;241107;241284;241742	-;-;-;-	1776	2	3
FBgn0171333	scaffold_31;scaffold_31;scaffold_31;scaffold_31;scaffold_31;scaffold_31;scaffold_31;scaffold_31	235727;236147;236774;236953;237147;237423;237621;238078	236084;236679;236882;237093;237366;237540;237780;238304	-;-;-;-;-;-;-;-	1866	5	4
FBgn0171334	scaffold_31;scaffold_31;scaffold_31;scaffold_31;scaffold_31;scaffold_31;scaffold_31	232300;232710;233303;233605;233905;234163;234695	232651;233242;233552;233836;234022;234322;234930	-;-;-;-;-;-;-	1881	4	6
FBgn0171335	scaffold_31	226858	227766	-	909	169	162
FBgn0171336	scaffold_31;scaffold_31	225565;226075	225897;226203	-;-	462	2323	2200
FBgn0171337	scaffold_3;scaffold_3;scaffold_3;scaffold_3	2920741;2920871;2921394;2923478	2920805;2921195;2921580;2923731	+;+;+;+	831	157	149
FBgn0171338	scaffold_31;scaffold_31	215876;216269	216214;217204	-;-	1275	115	119
